epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
75,4174.13,0.44781,0.92829,0.9898,0.22292,0.002674,0.002674,0.002674
76,4435.04,0.44117,0.92818,0.98958,0.22219,0.002575,0.002575,0.002575
77,4688.18,0.43146,0.92895,0.98947,0.22157,0.002476,0.002476,0.002476
78,4958.35,0.42156,0.92939,0.98958,0.22112,0.002377,0.002377,0.002377
79,5243.41,0.41231,0.92906,0.98958,0.22059,0.002278,0.002278,0.002278
80,5503.24,0.41534,0.92928,0.98947,0.21993,0.002179,0.002179,0.002179
81,5780.1,0.40328,0.92993,0.98947,0.21932,0.00208,0.00208,0.00208
82,6035.51,0.3955,0.93037,0.9898,0.2189,0.001981,0.001981,0.001981
83,6286.33,0.38761,0.93103,0.9898,0.21848,0.001882,0.001882,0.001882
84,6540.95,0.38258,0.93081,0.98991,0.21819,0.001783,0.001783,0.001783
85,6796.62,0.38297,0.93125,0.99002,0.21783,0.001684,0.001684,0.001684
86,7051.8,0.37448,0.93059,0.99002,0.21752,0.001585,0.001585,0.001585
87,7306.02,0.36305,0.93158,0.99002,0.21718,0.001486,0.001486,0.001486
88,7572.95,0.36408,0.93147,0.98991,0.21692,0.001387,0.001387,0.001387
89,7831.61,0.3518,0.93235,0.98991,0.21694,0.001288,0.001288,0.001288
90,8098.78,0.34603,0.93246,0.98991,0.21691,0.001189,0.001189,0.001189
91,8353.58,0.35347,0.93224,0.99024,0.21692,0.00109,0.00109,0.00109
92,8607.86,0.34506,0.93213,0.99002,0.21679,0.000991,0.000991,0.000991
93,8873.01,0.34213,0.93213,0.98969,0.21676,0.000892,0.000892,0.000892
94,9150.28,0.32948,0.93224,0.98969,0.2168,0.000793,0.000793,0.000793
95,9419.57,0.32423,0.93158,0.98958,0.217,0.000694,0.000694,0.000694
96,9686.23,0.32421,0.9318,0.98958,0.21721,0.000595,0.000595,0.000595
97,9946.91,0.3165,0.93147,0.98969,0.21727,0.000496,0.000496,0.000496
98,10200.2,0.31292,0.93147,0.9898,0.21742,0.000397,0.000397,0.000397
99,10449.1,0.3061,0.93169,0.9898,0.21758,0.000298,0.000298,0.000298
100,10705,0.30064,0.93202,0.99002,0.21789,0.000199,0.000199,0.000199
